+--------+--------+------+
| origin | destin | dist |
| AVP    | ORD    |  631 |
| AZO    | CVG    |  225 |
| AZO    | DTW    |  113 |
| AZO    | FAR    |  642 |
| AZO    | MSP    |  426 |
| AZO    | ORD    |  122 |
| AZO    | XNA    |  623 |
| BDL    | ATL    |  859 |
| BDL    | BNA    |  852 |
| BDL    | BWI    |  283 |
| BDL    | CLE    |  475 |
| BDL    | CLT    |  644 |
| BDL    | CVG    |  661 |
| BDL    | DCA    |  313 |
| BDL    | DEN    | 1671 |
| BDL    | DFW    | 1471 |
| BDL    | DTW    |  548 |
| BDL    | EWR    |  116 |
| BDL    | FLL    | 1173 |
| BDL    | GRB    |  798 |
| BDL    | IAD    |  326 |
| BDL    | IAH    | 1507 |
| BDL    | IND    |  728 |
| BDL    | JFK    |  106 |
| BDL    | LAS    | 2298 |
| BDL    | LAX    | 2527 |
| BDL    | MCO    | 1050 |
| BDL    | MDW    |  777 |
| BDL    | MEM    | 1048 |
| BDL    | MIA    | 1194 |
| BDL    | MKE    |  780 |
| BDL    | MSP    | 1050 |
| BDL    | ORD    |  783 |
| BDL    | PBI    | 1133 |
| BDL    | PHL    |  196 |
| BDL    | PHX    | 2213 |
| BDL    | RDU    |  532 |
| BDL    | RSW    | 1180 |
| BDL    | SJU    | 1666 |
| BDL    | TPA    | 1111 |
| BET    | ANC    |  399 |
| BFL    | DEN    |  845 |
| BFL    | FAT    |  100 |
| BFL    | LAS    |  224 |
| BFL    | LAX    |  109 |
| BFL    | PHX    |  425 |
| BFL    | SAN    |  215 |
| BFL    | SFO    |  238 |
| BFL    | SLC    |  534 |
| BFL    | SMF    |  265 |
| BGM    | DTW    |  378 |
| BGR    | ATL    | 1134 |
| BGR    | BOS    |  201 |
| BGR    | BTV    |  214 |
| BGR    | CVG    |  906 |
| BGR    | DTW    |  750 |
| BGR    | EWR    |  393 |
| BGR    | JFK    |  382 |
| BGR    | MSP    | 1194 |
| BHM    | ATL    |  134 |
| BHM    | AUS    |  682 |
| BHM    | BNA    |  177 |
| BHM    | BWI    |  682 |
| BHM    | CLE    |  604 |
| BHM    | CLT    |  351 |
| BHM    | CVG    |  396 |
| BHM    | DAL    |  587 |
| BHM    | DEN    | 1082 |
| BHM    | DFW    |  597 |
| BHM    | DTW    |  625 |
| BHM    | EWR    |  850 |
| BHM    | HOU    |  570 |
| BHM    | HSV    |   74 |
| BHM    | IAD    |  638 |
| BHM    | IAH    |  562 |
| BHM    | JAX    |  365 |
| BHM    | JFK    |  866 |
| BHM    | LAS    | 1618 |
| BHM    | LGA    |  866 |
| BHM    | MCO    |  478 |
| BHM    | MDW    |  570 |
| BHM    | MEM    |  211 |
| BHM    | MKE    |  650 |
| BHM    | MSY    |  321 |
| BHM    | ORD    |  584 |
| BHM    | PHX    | 1455 |
| BHM    | RDU    |  481 |
| BHM    | SDF    |  323 |
| BHM    | SLC    | 1472 |
| BHM    | STL    |  410 |
| BHM    | TPA    |  460 |
| BIL    | DEN    |  455 |
| BIL    | GTF    |  177 |
| BIL    | MSP    |  748 |
| BIL    | ORD    | 1060 |
| BIL    | PIH    |  283 |
| BIL    | SLC    |  387 |
| BIS    | DEN    |  517 |
| BIS    | MSP    |  386 |
| BIS    | RAP    |  220 |
| BJI    | MSP    |  199 |
| BLI    | SLC    |  757 |
| BMI    | ATL    |  533 |
| BMI    | DFW    |  690 |
| BMI    | LAS    | 1452 |
| BMI    | MCO    |  936 |
| BMI    | ORD    |  116 |
| BNA    | ATL    |  214 |
| BNA    | AUS    |  756 |
| BNA    | BDL    |  852 |
| BNA    | BHM    |  177 |
| BNA    | BOS    |  943 |
| BNA    | BWI    |  588 |
| BNA    | CID    |  480 |
| BNA    | CLE    |  448 |
| BNA    | CLT    |  329 |
| BNA    | CMH    |  338 |
| BNA    | COS    | 1006 |
| BNA    | CVG    |  230 |
| BNA    | DCA    |  562 |
| BNA    | DEN    | 1013 |
| BNA    | DFW    |  631 |
| BNA    | DTW    |  457 |
